region_id,기준일자,주민등록인구,생활인구,주간생활인구,야간생활인구,주야간생활인구비율,세대수
1144060000,2026-05,,24981.53,28756.16,22285.37,1.29,
1144061000,2026-05,,18016.02,17427.91,18436.1,0.95,
1144063000,2026-05,,15406.96,14455.56,16086.53,0.9,
1144065500,2026-05,,28363.03,28141.12,28521.53,0.99,
1144066000,2026-05,,72862.13,91403.83,59618.07,1.53,
1144068000,2026-05,,18793.72,21447.93,16897.86,1.27,
1144069000,2026-05,,19782.93,18573.37,20646.89,0.9,
1144070000,2026-05,,15166.31,13879.22,16085.66,0.86,
1144071000,2026-05,,17452.77,17649.42,17312.31,1.02,
1144072000,2026-05,,19657.3,18679.46,20355.76,0.92,
1144073000,2026-05,,32509.45,30687.81,33810.62,0.91,
1144074000,2026-05,,48164.43,57009.91,41846.22,1.36,
1147051000,2026-05,,38130.99,43425.48,34349.22,1.26,
1147052000,2026-05,,19360.94,16066.57,21714.06,0.74,
1147053000,2026-05,,17812.32,16360.01,18849.68,0.87,
1147054000,2026-05,,17099.03,14593.87,18888.43,0.77,
1147055000,2026-05,,40534.22,38037.85,42317.34,0.9,
1147056000,2026-05,,13704.93,12296.27,14711.12,0.84,
1147057000,2026-05,,11322.96,10509.42,11904.06,0.88,
1147058000,2026-05,,12015.61,11820.04,12155.31,0.97,
1147059000,2026-05,,10972.22,9309.97,12159.55,0.77,
1147060000,2026-05,,10871.4,10384.21,11219.39,0.93,
1147061000,2026-05,,3469.36,3629.42,3355.03,1.08,
1147061100,2026-05,,14004.92,13043.76,14691.47,0.89,
1147062000,2026-05,,15910.0,14822.73,16686.62,0.89,
1147063000,2026-05,,13885.97,12034.38,15208.53,0.79,
1147064000,2026-05,,36841.64,32905.56,39653.12,0.83,
1147065000,2026-05,,31779.1,28766.18,33931.18,0.85,
1147067000,2026-05,,18306.01,17333.09,19000.95,0.91,
1147068000,2026-05,,19453.21,17936.0,20536.92,0.87,
1150051000,2026-05,,29884.95,26498.26,32304.01,0.82,
1150052000,2026-05,,19988.69,18674.16,20927.64,0.89,
1150053000,2026-05,,15261.32,13082.93,16817.32,0.78,
1150053500,2026-05,,31691.63,34333.23,29804.76,1.15,
1150054000,2026-05,,47613.72,44956.88,49511.46,0.91,
1150055000,2026-05,,12401.61,10700.1,13616.98,0.79,
1150056000,2026-05,,16240.45,14816.94,17257.24,0.86,
1150057000,2026-05,,13925.78,12408.31,15009.69,0.83,
1150059000,2026-05,,25918.8,21149.21,29325.64,0.72,
1150059100,2026-05,,20046.43,18231.12,21343.08,0.85,
1150059300,2026-05,,57193.14,55504.25,58399.49,0.95,
1150060300,2026-05,,38579.74,47992.07,31856.65,1.51,
1150060400,2026-05,,13737.83,14564.28,13147.51,1.11,
1150060500,2026-05,,11154.56,10651.35,11514.0,0.93,
1150061100,2026-05,,30875.04,30572.33,31091.26,0.98,
1150061500,2026-05,,33994.55,32556.82,35021.5,0.93,
1150062000,2026-05,,34510.22,36480.86,33102.62,1.1,
1150063000,2026-05,,32153.39,31198.57,32835.4,0.95,
1150064000,2026-05,,24249.76,27094.66,22217.69,1.22,
1150064100,2026-05,,15049.2,13824.23,15924.19,0.87,
1153051000,2026-05,,30322.42,30871.51,29930.21,1.03,
1153052000,2026-05,,15328.71,13762.11,16447.7,0.84,
1153053000,2026-05,,31770.85,33499.32,30536.23,1.1,
1153054000,2026-05,,40370.63,50709.28,32985.88,1.54,
1153055000,2026-05,,15991.73,14905.01,16767.95,0.89,
1153056000,2026-05,,31928.16,33218.92,31006.19,1.07,
1153059500,2026-05,,11347.49,11399.97,11310.01,1.01,
1153072000,2026-05,,25219.38,26219.15,24505.26,1.07,
1153073000,2026-05,,14412.1,12176.9,16008.67,0.76,
1153074000,2026-05,,26209.64,23420.02,28202.23,0.83,
1153075000,2026-05,,21393.34,17984.84,23827.98,0.75,
1153076000,2026-05,,17532.86,16022.99,18611.34,0.86,
1153077000,2026-05,,19204.62,17402.09,20492.14,0.85,
1153078000,2026-05,,49971.35,44639.85,53779.56,0.83,
1153079000,2026-05,,18664.61,17374.74,19585.94,0.89,
1154551000,2026-05,,56773.02,76529.62,42661.16,1.79,
1154561000,2026-05,,38813.99,37478.5,39767.92,0.94,
1154562000,2026-05,,11119.91,9612.45,12196.67,0.79,
1154563000,2026-05,,14733.14,13143.1,15868.89,0.83,
1154564000,2026-05,,11513.49,10277.09,12396.63,0.83,
1154567000,2026-05,,24738.25,23731.71,25457.21,0.93,
1154568000,2026-05,,12608.44,10819.39,13886.33,0.78,
1154569000,2026-05,,9837.73,9847.6,9830.68,1.0,
1154570000,2026-05,,9749.23,8143.04,10896.51,0.75,
1154571000,2026-05,,10745.75,9729.56,11471.61,0.85,
1156051500,2026-05,,17503.5,16963.09,17889.5,0.95,
1156053500,2026-05,,54705.26,67728.99,45402.6,1.49,
1156054000,2026-05,,95802.56,137461.41,66046.23,2.08,
1156055000,2026-05,,23369.76,25240.31,22033.65,1.15,
1156056000,2026-05,,45327.58,41534.57,48036.87,0.86,
