region_id,area_km2,centroid_lon,centroid_lat,map_x,map_y
1141065500,0.699458,126.952514,37.584386,0.448978,0.427348
1141066000,1.597573,126.946935,37.600635,0.435964,0.367799
1141068500,2.07351,126.932129,37.587171,0.400429,0.416807
1141069000,0.475186,126.916279,37.571817,0.362354,0.472702
1141070000,0.783037,126.921346,37.577928,0.37455,0.450435
1141071000,0.577555,126.908097,37.575416,0.342911,0.459386
1141072000,0.824345,126.913339,37.581177,0.355519,0.438402
1144055500,0.748278,126.952706,37.551851,0.44887,0.546395
1144056500,1.018523,126.957945,37.549318,0.461322,0.555751
1144058500,0.624554,126.949108,37.538644,0.440056,0.594657
1144059000,0.790016,126.942213,37.541529,0.423657,0.583984
1144060000,0.84757,126.941465,37.552037,0.422061,0.545524
1144061000,0.496964,126.947537,37.549898,0.436506,0.553454
1144063000,0.79729,126.934793,37.545656,0.406032,0.568754
1144065500,1.477694,126.926031,37.54673,0.38515,0.564669
1144066000,1.677535,126.920937,37.554748,0.373148,0.535241
1144068000,1.711131,126.908957,37.546963,0.344427,0.563509
1144069000,1.100198,126.899752,37.553619,0.322596,0.538984
1144070000,0.675915,126.900177,37.558988,0.323711,0.519349
1144071000,0.646963,126.921537,37.563018,0.374731,0.504993
1144072000,0.858623,126.911846,37.562002,0.351599,0.508535
1144073000,1.977273,126.901968,37.568329,0.328161,0.485204
1144074000,8.396291,126.879901,37.570726,0.275587,0.476015
1147051000,1.432068,126.874435,37.527519,0.261691,0.634003
1147052000,1.020612,126.874287,37.543632,0.261659,0.575042
1147053000,0.531464,126.865551,37.545167,0.240851,0.569257
1147054000,0.577074,126.866956,37.535353,0.244005,0.605191
1147055000,1.765074,126.879882,37.536052,0.274856,0.602887
1147056000,0.621952,126.834489,37.531269,0.16646,0.619482
1147057000,0.606373,126.846326,37.523421,0.194538,0.648439
1147058000,0.91738,126.827463,37.532448,0.14972,0.615024
1147059000,0.469535,126.839853,37.522155,0.179066,0.65294
1147060000,0.638108,126.829436,37.540901,0.15461,0.584134
1147061000,0.443966,126.842162,37.515985,0.184447,0.675565
1147061100,1.229743,126.830604,37.519054,0.156931,0.664097
1147062000,0.747026,126.859671,37.518906,0.226288,0.665229
1147063000,0.525516,126.874794,37.519407,0.262386,0.663689
1147064000,2.754548,126.841093,37.511806,0.181808,0.690833
1147065000,0.996421,126.857618,37.525411,0.221523,0.641387
1147067000,0.940201,126.869767,37.515884,0.25032,0.676484
1147068000,1.233234,126.865408,37.509877,0.239796,0.698378
1150051000,1.733196,126.871801,37.554545,0.255948,0.535065
1150052000,0.650269,126.85961,37.555859,0.226896,0.530017
1150053000,0.910006,126.860027,37.545844,0.227688,0.56667
1150053500,1.059597,126.846195,37.561204,0.195012,0.510193
1150054000,1.196655,126.840922,37.533773,0.18186,0.610452
1150055000,0.454292,126.854383,37.532262,0.213943,0.616254
1150056000,0.521444,126.834305,37.543994,0.166291,0.572918
1150057000,0.851432,126.858597,37.536081,0.224076,0.602364
1150059000,0.971674,126.848118,37.542636,0.199213,0.578172
1150059100,1.037161,126.851231,37.551721,0.206826,0.54499
1150059300,0.593251,126.848773,37.534267,0.2006,0.608805
1150060300,4.865765,126.834908,37.571877,0.168321,0.470907
1150060400,0.823278,126.854357,37.566769,0.214592,0.489995
1150060500,0.472284,126.861099,37.560807,0.230548,0.511943
1150061100,2.885595,126.825262,37.550507,0.144859,0.5489
1150061500,1.260678,126.841132,37.550612,0.182714,0.548844
1150062000,10.955945,126.794899,37.555864,0.072555,0.528649
1150063000,1.474548,126.817578,37.568606,0.126924,0.482514
1150064000,6.153143,126.804027,37.582714,0.094921,0.430604
1150064100,2.557045,126.81759,37.582115,0.127246,0.433086
1153051000,1.391773,126.882175,37.51003,0.279813,0.698142
1153052000,1.008158,126.875398,37.493141,0.263305,0.759809
1153053000,1.702115,126.879918,37.496876,0.274169,0.746228
1153054000,1.039347,126.894914,37.484873,0.309733,0.790431
1153055000,0.524118,126.890309,37.491608,0.29887,0.765703
1153056000,1.011734,126.888551,37.501992,0.294874,0.727673
1153059500,0.410699,126.88806,37.482694,0.293327,0.798276
1153072000,1.150403,126.8637,37.500708,0.235534,0.731894
1153073000,1.024687,126.853469,37.505895,0.21122,0.71271
1153074000,1.319314,126.849127,37.500004,0.200735,0.73418
