시도명,시군구명,행정동코드,행정동명,법정동코드,법정동명,개정일자,연결번호
서울특별시,마포구,1144059000,용강동,1144010700,마포동,2025-04-01,302
서울특별시,마포구,1144059000,용강동,1144010900,염리동,2025-04-01,302
서울특별시,마포구,1144059000,용강동,1144010500,용강동,2025-04-01,302
서울특별시,마포구,1144059000,용강동,1144010600,토정동,2025-04-01,302
서울특별시,마포구,1144068000,합정동,1144012200,합정동,2025-04-01,311
서울특별시,서대문구,1141069000,남가좌1동,1141012000,남가좌동,2025-04-01,288
서울특별시,서대문구,1141070000,남가좌2동,1141012000,남가좌동,2025-04-01,289
서울특별시,서대문구,1141071000,북가좌1동,1141011900,북가좌동,2025-04-01,290
서울특별시,서대문구,1141072000,북가좌2동,1141011900,북가좌동,2025-04-01,291
서울특별시,서대문구,1141055500,북아현동,1141011200,대현동,2018-10-01,274
서울특별시,서대문구,1141055500,북아현동,1141011000,북아현동,2025-04-01,274
서울특별시,서대문구,1141058500,신촌동,1141011300,대신동,2025-04-01,276
서울특별시,서대문구,1141058500,신촌동,1141011200,대현동,2025-04-01,276
서울특별시,서대문구,1141058500,신촌동,1141011500,봉원동,2025-04-01,276
서울특별시,서대문구,1141058500,신촌동,1141011400,신촌동,2025-04-01,276
서울특별시,서대문구,1141058500,신촌동,1141011600,창천동,2025-04-01,276
서울특별시,서대문구,1141061500,연희동,1141011700,연희동,2025-04-01,278
서울특별시,서대문구,1141052000,천연동,1141010500,냉천동,2025-04-01,273
서울특별시,서대문구,1141052000,천연동,1141010800,영천동,2025-04-01,273
서울특별시,서대문구,1141052000,천연동,1141010700,옥천동,2025-04-01,273
서울특별시,서대문구,1141052000,천연동,1141010600,천연동,2025-04-01,273
서울특별시,서대문구,1141052000,천연동,1141010900,현저동,2025-04-01,273
서울특별시,서대문구,1141056500,충현동,1141010400,미근동,2025-04-01,271
서울특별시,서대문구,1141056500,충현동,1141011000,북아현동,2025-04-01,271
서울특별시,서대문구,1141056500,충현동,1141010100,충정로2가,2025-04-01,271
서울특별시,서대문구,1141056500,충현동,1141010200,충정로3가,2025-04-01,271
서울특별시,서대문구,1141056500,충현동,1141010300,합동,2025-04-01,271
서울특별시,서대문구,1141066000,홍은1동,1141011800,홍은동,2025-04-01,285
서울특별시,서대문구,1141068500,홍은2동,1141011800,홍은동,2025-04-01,287
서울특별시,서대문구,1141062000,홍제1동,1141011100,홍제동,2025-04-01,281
서울특별시,서대문구,1141065500,홍제2동,1141011100,홍제동,2025-04-01,284
서울특별시,서대문구,1141064000,홍제3동,1141011100,홍제동,2025-04-01,283
서울특별시,서초구,1165066000,내곡동,1165010900,내곡동,2025-04-01,493
서울특별시,서초구,1165066000,내곡동,1165011100,신원동,2025-04-01,493
서울특별시,서초구,1165066000,내곡동,1165011000,염곡동,2025-04-01,493
서울특별시,서초구,1165056000,반포1동,1165010700,반포동,2025-04-01,482
서울특별시,서초구,1165057000,반포2동,1165010700,반포동,2025-04-01,483
