region_id,기준일자,실거래가,전세가,전세가율,거래량
1144066000,2023-10,1000.0,,,1.0
1144069000,2023-10,11250.0,40000.0,,2.0
1144070000,2023-10,11250.0,40000.0,,2.0
1144071000,2023-10,1000.0,,,4.0
1144072000,2023-10,11500.0,27500.0,,3.0
1144073000,2023-10,9875.0,27500.0,,4.0
1144074000,2023-10,5531.67,,,3.0
1147051000,2023-10,18545.0,27442.5,,1.2
1147052000,2023-10,18545.0,27442.5,,1.2
1147053000,2023-10,18545.0,27442.5,,1.2
1147054000,2023-10,18545.0,27442.5,,1.2
1147055000,2023-10,18545.0,27442.5,,1.2
1147056000,2023-10,14100.0,,,0.29
1147057000,2023-10,14100.0,,,0.29
1147058000,2023-10,14100.0,,,0.29
1147059000,2023-10,14100.0,,,0.29
1147060000,2023-10,14100.0,,,0.29
1147061000,2023-10,14100.0,,,0.29
1147061100,2023-10,14100.0,,,0.29
1147062000,2023-10,10869.4,84000.0,,1.67
1147063000,2023-10,10869.4,84000.0,,1.67
1147064000,2023-10,10869.4,84000.0,,1.67
1147065000,2023-10,10869.4,84000.0,,1.67
1147067000,2023-10,10869.4,84000.0,,1.67
1147068000,2023-10,10869.4,84000.0,,1.67
1150051000,2023-10,19617.14,51000.0,,1.75
1150052000,2023-10,13325.0,24650.0,,1.0
1150053000,2023-10,13325.0,24650.0,,1.0
1150053500,2023-10,13325.0,24650.0,,1.0
1150054000,2023-10,4130.0,21500.0,,1.12
1150055000,2023-10,4130.0,21500.0,,1.12
1150056000,2023-10,4130.0,21500.0,,1.12
1150057000,2023-10,4130.0,21500.0,,1.12
1150059000,2023-10,4130.0,21500.0,,1.12
1150059100,2023-10,4130.0,21500.0,,1.12
1150059300,2023-10,4130.0,21500.0,,1.12
1150060300,2023-10,10681.51,24650.0,,1.85
1150060400,2023-10,7000.0,,,0.25
1150060500,2023-10,19617.14,51000.0,,1.75
1150061100,2023-10,8638.77,15775.0,,2.6
1150061500,2023-10,9610.0,16411.11,,2.12
1150062000,2023-10,5438.27,,,1.85
1150063000,2023-10,5438.27,,,1.85
1150064000,2023-10,500.0,,,0.25
1150064100,2023-10,5659.76,,,0.85
1153051000,2023-10,51000.0,51000.0,,2.0
1153052000,2023-10,8606.67,19650.0,,3.0
1153053000,2023-10,8606.67,19650.0,,3.0
1153054000,2023-10,8606.67,19650.0,,3.0
1153055000,2023-10,8606.67,19650.0,,3.0
1153056000,2023-10,8606.67,19650.0,,3.0
1153059500,2023-10,1033.33,,,3.0
1153072000,2023-10,2434.5,6300.0,,2.0
1153073000,2023-10,2434.5,6300.0,,2.0
1153074000,2023-10,979.0,,,0.33
1153075000,2023-10,979.0,,,0.33
1153076000,2023-10,979.0,,,0.33
1153077000,2023-10,10000.0,28000.0,,1.5
1153078000,2023-10,10000.0,28000.0,,1.5
1154551000,2023-10,1266.67,,,3.0
1154561000,2023-10,8908.77,20375.0,,3.25
1154562000,2023-10,8908.77,20375.0,,3.25
1154563000,2023-10,8908.77,20375.0,,3.25
1154564000,2023-10,8908.77,20375.0,,3.25
1154567000,2023-10,4770.0,17000.0,,2.0
1154568000,2023-10,4770.0,17000.0,,2.0
1154569000,2023-10,4770.0,17000.0,,2.0
1154570000,2023-10,4770.0,17000.0,,2.0
1154571000,2023-10,4770.0,17000.0,,2.0
1156051500,2023-10,7241.83,9410.8,,1.64
1156053500,2023-10,9032.0,13033.33,,3.5
1156055000,2023-10,16833.33,24250.0,,3.0
1156056000,2023-10,12100.0,20000.0,,3.0
1156058500,2023-10,3936.0,17850.0,,5.0
1156061000,2023-10,17677.2,32000.0,,2.5
1156062000,2023-10,8128.67,,,1.5
1156063000,2023-10,8003.88,12832.75,,1.14
1156065000,2023-10,8003.88,12832.75,,1.14
1156066000,2023-10,8003.88,12832.75,,1.14
1156067000,2023-10,3373.22,8360.8,,4.14
1156068000,2023-10,8003.88,12832.75,,1.14
1156069000,2023-10,8003.88,12832.75,,1.14
1156070000,2023-10,1609.17,3250.0,,3.0
1156071000,2023-10,1609.17,3250.0,,3.0
1156072000,2023-10,1609.17,3250.0,,3.0
1159051000,2023-10,14000.0,14000.0,,1.5
1159052000,2023-10,8000.0,8000.0,,0.5
1159053000,2023-10,15928.57,51500.0,,1.75
1159054000,2023-10,34500.0,51500.0,,0.75
1159055000,2023-10,34500.0,51500.0,,0.75
1159056000,2023-10,34500.0,51500.0,,0.75
1159060500,2023-10,27375.0,,,4.0
1159062000,2023-10,9587.5,21600.0,,1.6
1159063000,2023-10,9587.5,21600.0,,1.6
1159064000,2023-10,9587.5,21600.0,,1.6
1159065000,2023-10,9587.5,21600.0,,1.6
1159065100,2023-10,9587.5,21600.0,,1.6
1159066000,2023-10,7500.0,14000.0,,2.0
1159067000,2023-10,8887.8,17939.0,,2.5
1159068000,2023-10,8887.8,17939.0,,2.5
1162052500,2023-10,9229.41,40600.0,,1.89
1162054500,2023-10,9229.41,40600.0,,1.89
1162056500,2023-10,9229.41,40600.0,,1.89
1162057500,2023-10,9229.41,40600.0,,1.89
1162058500,2023-10,9229.41,40600.0,,1.89
1162059500,2023-10,9229.41,40600.0,,1.89
1162060500,2023-10,9229.41,40600.0,,1.89
1162061500,2023-10,9229.41,40600.0,,1.89
1162062500,2023-10,9229.41,40600.0,,1.89
1162063000,2023-10,14000.0,18000.0,,2.0
1162064500,2023-10,6556.11,12542.86,,1.64
1162065500,2023-10,6556.11,12542.86,,1.64
1162066500,2023-10,6556.11,12542.86,,1.64
1162068500,2023-10,6556.11,12542.86,,1.64
1162069500,2023-10,6556.11,12542.86,,1.64
1162071500,2023-10,6556.11,12542.86,,1.64
1162072500,2023-10,6556.11,12542.86,,1.64
1162073500,2023-10,6556.11,12542.86,,1.64
1162074500,2023-10,6556.11,12542.86,,1.64
1162076500,2023-10,6556.11,12542.86,,1.64
1162077500,2023-10,6556.11,12542.86,,1.64
1165051000,2023-10,30918.0,68000.0,,1.5
1165052000,2023-10,30918.0,68000.0,,1.5
1165053000,2023-10,35441.44,67757.14,,2.67
1165053100,2023-10,30918.0,68000.0,,1.5
1165055000,2023-10,11000.0,,,0.75
1165056000,2023-10,11000.0,,,0.75
1165057000,2023-10,11000.0,,,0.75
1165058100,2023-10,11000.0,,,0.75
1165059000,2023-10,41257.29,67575.0,,1.17
1165060000,2023-10,41257.29,67575.0,,1.17
